City Name,Country,Region,CBD Location,,Land Cover Dates,,,Share of Built-up Area Occupied by Roads,,Average Road Width (meters),,Share of Roads Less Than 4 Meters Wide,,Share of Roads More Than 16 Meters Wide,,Density of All Arterial Roads (km/km2),,Average Beeline Distance to All Arterial Roads (meters),,Share of Area within Walking Distance of All Arterial Roads,,Share of Area within Walking Distance of Wide Arterial Roads ,,Average Block Size (ha),,3-Way Intersection Density (number per km2),,4-Way Intersection Density (number per km2 ),,Share of Intersections that are 4-Way ,,Walkability Ratio,,Share of Built-up Area That Is Residential,,Share of Residential Areas Laid Out Before Development,,Share of Residential Areas Not Laid Out Before Development,,Share of Built-up Area That Is Gridded,,Share of Residential Area in Informal Land Subdivisions,,Share of Residential Area in Formal Land Subdivisions,,Share of Residential Area in Housing Projects,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,
Astrakhan,Russia,Europe and Japan,46.340,48.020,7/1/88,9/1/03,3/1/14,23%,20%, 7.4 , 5.3 ,8%,29%,4%,1%, 1.16 , 0.84 , 334 , 371 ,84%,80%,69%,63%,2.0,2.8,159.7,195.8,21.3,27.1,11%,13%, 1.8 , 1.6 ,60%,73%,98%,80%,2%,20%,3%,5%,59%,80%,19%,0%,19%,0%, 473 , 991 ,,
Auckland,New Zealand,Land-Rich Developed Countries,-36.915,174.786,6/1/89,9/1/01,4/1/14,18%,19%, 14.2 , 10.3 ,8%,20%,43%,19%, 1.62 , 1.52 , 233 , 244 ,93%,92%,92%,91%,9.3,8.1,32.9,54.2,3.1,5.8,7%,9%, 1.6 , 1.6 ,82%,79%,100%,93%,0%,7%,0%,0%,0%,0%,96%,85%,4%,7%,,, 580 , 454 
Bacolod,Philippines,Southeast Asia,10.664,122.961,12/1/92,9/1/00,3/1/15,26%,21%, 8.9 , 5.7 ,23%,28%,27%,1%, 2.35 , 1.36 , 160 , 264 ,98%,90%,89%,83%,4.2,2.9,96.2,158.6,43.9,19.4,42%,11%, 2.1 , 2.2 ,98%,70%,78%,67%,43%,33%,10%,8%,6%,44%,64%,20%,8%,2%, 23 , 383 , 363 , 409 
Baghdad,Iraq,Western Asia and North Africa,33.320,44.379,8/1/90,8/1/00,8/1/13,24%,24%, 9.3 , 6.4 ,10%,26%,11%,3%, 1.69 , 1.49 , 313 , 349 ,86%,84%,79%,74%,3.1,4.1,129.8,203.9,17.6,17.3,11%,4%, 1.7 , 1.9 ,79%,80%,88%,45%,12%,55%,5%,0%,31%,39%,53%,5%,5%,1%, 125 ,, 300 ,
Baku,Azerbaijan,Western Asia and North Africa,40.400,49.881,7/1/89,1/1/00,8/1/14,19%,18%, 8.3 , 6.7 ,17%,18%,12%,5%, 1.80 , 1.37 , 251 , 317 ,90%,84%,81%,68%,3.1,3.9,107.3,117.3,13.4,6.7,10%,5%, 1.9 , 1.7 ,57%,78%,68%,56%,32%,44%,4%,3%,23%,48%,27%,5%,18%,3%,, 637 , 728 ,
Bamako,Mali,Sub-Saharan Africa,12.650,-8.000,1/1/90,10/1/00,11/1/13,19%,20%, 8.5 , 6.5 ,8%,19%,5%,3%, 1.87 , 1.02 , 178 , 376 ,98%,80%,87%,65%,2.2,1.6,111.5,184.3,43.8,45.6,28%,20%, 1.6 , 1.5 ,66%,84%,100%,78%,0%,22%,33%,18%,99%,78%,0%,0%,0%,1%, 651 , 467 ,,
Bangkok,Thailand,Southeast Asia,13.778,100.538,3/1/88,1/1/02,1/1/15,18%,22%, 9.5 , 7.0 ,16%,23%,13%,5%, 1.07 , 0.78 , 353 , 520 ,83%,70%,77%,62%,5.8,5.4,60.3,91.1,10.3,9.5,11%,6%, 1.7 , 2.2 ,56%,54%,23%,60%,73%,40%,4%,3%,2%,15%,20%,9%,5%,36%,, 279 , 224 , 196 
"Beijing, Beijing",China,East Asia and the Pacific,39.920,116.370,12/1/88,7/1/99,10/1/13,25%,26%, 10.4 , 7.3 ,27%,43%,20%,11%, 1.63 , 0.67 , 271 , 573 ,89%,71%,87%,58%,6.2,4.5,105.9,147.0,15.3,34.6,10%,11%, 1.6 , 1.8 ,51%,54%,65%,89%,19%,11%,3%,3%,9%,40%,13%,20%,59%,30%, 21 ,, 421 ,
Beira,Mozambique,Sub-Saharan Africa,-19.831,34.860,3/1/91,5/1/01,7/1/13,14%,11%, 7.6 , 6.5 ,26%,29%,9%,5%, 1.15 , 0.62 , 336 , 803 ,83%,58%,77%,55%,5.2,10.4,57.6,42.0,17.4,7.6,15%,11%, 1.6 , 1.5 ,78%,76%,33%,17%,67%,83%,14%,8%,16%,17%,10%,0%,7%,0%, 420 ,, 778 ,
Belgaum,India,South and Central Asia,15.850,74.506,11/1/89,11/1/00,4/1/14,22%,23%, 9.2 , 8.0 ,8%,9%,13%,6%, 2.62 , 1.50 , 138 , 307 ,100%,87%,97%,74%,2.6,2.7,112.7,152.1,11.9,21.9,8%,10%, 1.7 , 1.6 ,72%,79%,49%,77%,51%,23%,0%,3%,38%,51%,4%,26%,7%,0%,, 177 ,, 405 
Belgrade,Serbia,Europe and Japan,44.798,20.447,8/1/88,7/1/00,3/1/14,23%,14%, 8.5 , 5.7 ,22%,37%,10%,4%, 2.02 , 1.64 , 182 , 245 ,97%,93%,83%,77%,3.1,7.1,120.0,69.2,17.3,6.9,12%,7%, 1.8 , 1.6 ,52%,82%,81%,64%,19%,36%,3%,3%,0%,27%,60%,33%,21%,4%,,,,
Belo Horizonte,Brazil,Latin America and the Caribbean,-19.904,-44.005,6/1/89,6/1/00,5/1/13,23%,20%, 9.5 , 7.3 ,11%,17%,9%,3%, 2.00 , 1.74 , 204 , 242 ,95%,92%,83%,76%,3.0,5.9,94.5,77.8,23.5,8.7,21%,14%, 1.7 , 1.8 ,81%,85%,85%,89%,15%,11%,10%,3%,9%,18%,74%,70%,2%,1%, 182 ,, 388 , 194 
Berezniki,Russia,Europe and Japan,59.415,56.795,7/1/89,5/1/00,7/1/10,23%,32%, 7.8 , 6.0 ,17%,36%,5%,2%, 0.25 , 0.30 ," 1,129 "," 1,000 ",30%,37%,32%,30%,4.4,1.2,114.9,327.6,10.5,30.8,6%,6%, 1.9 , 1.7 ,64%,72%,97%,100%,3%,0%,3%,0%,60%,50%,29%,0%,8%,50%, 796 , 365 ," 1,040 ",
Berlin,Germany,Europe and Japan,52.502,13.453,8/1/90,8/1/00,12/1/13,25%,18%, 10.7 , 8.8 ,13%,17%,17%,11%, 2.21 , 1.72 , 150 , 207 ,98%,95%,95%,73%,3.4,5.6,97.3,83.8,23.5,14.4,23%,17%, 1.9 , 1.9 ,74%,77%,100%,97%,0%,3%,13%,0%,7%,11%,72%,71%,21%,14%, 309 , 278 , 454 , 909 
"Bicheng, Chongqing",China,East Asia and the Pacific,29.595,106.231,9/1/88,7/1/00,6/1/13,33%,28%, 8.7 , 10.2 ,21%,20%,13%,18%, 2.38 , 1.15 , 148 , 229 ,100%,93%,100%,92%,0.9,6.3,248.0,105.3,86.0,11.1,26%,7%, 1.4 , 1.9 ,93%,38%,99%,74%,1%,26%,0%,0%,0%,3%,83%,33%,16%,38%,,,,
Bogota,Colombia,Latin America and the Caribbean,4.644,-74.129,12/1/89,1/1/01,1/1/10,25%,23%, 10.9 , 8.8 ,14%,16%,17%,11%, 2.69 , 2.37 , 145 , 176 ,98%,96%,87%,84%,1.9,4.2,167.1,154.6,38.4,39.8,18%,13%, 1.7 , 1.9 ,64%,76%,99%,95%,1%,5%,23%,10%,9%,26%,63%,18%,27%,51%,,, 130 ,
Budapest,Hungary,Europe and Japan,47.484,19.090,7/1/92,6/1/02,7/1/13,20%,16%, 9.1 , 7.7 ,7%,15%,6%,3%, 1.80 , 1.38 , 205 , 267 ,96%,90%,69%,53%,3.5,5.3,92.8,71.1,19.1,14.3,20%,26%, 1.7 , 1.5 ,80%,90%,97%,89%,3%,11%,8%,15%,6%,26%,84%,62%,6%,0%,, 868 , 644 , 719 
Buenos Aires,Argentina,Latin America and the Caribbean,-34.652,-58.547,5/1/89,12/1/01,3/1/14,26%,15%, 11.9 , 5.9 ,3%,13%,18%,1%, 2.57 , 2.14 , 147 , 194 ,98%,95%,78%,71%,2.4,3.5,83.1,68.1,29.2,41.5,58%,38%, 1.4 , 1.6 ,81%,83%,93%,97%,2%,3%,88%,73%,28%,87%,69%,4%,1%,5%, 168 , 372 , 254 , 484 
Bukhara,Uzbekistan,South and Central Asia,39.763,64.465,4/1/91,7/1/00,8/1/13,19%,15%, 10.3 , 8.6 ,11%,15%,15%,10%, 1.58 , 0.84 , 291 , 579 ,89%,69%,87%,64%,4.0,10.0,72.9,55.4,6.2,3.2,8%,5%, 1.6 , 1.7 ,73%,78%,83%,93%,17%,7%,0%,0%,40%,57%,41%,23%,2%,12%," 1,499 ",, 565 ," 2,653 "
Busan,Korea Rep.,East Asia and the Pacific,35.167,129.036,2/1/91,10/1/00,9/1/13,22%,29%, 6.5 , 6.9 ,37%,39%,7%,9%, 2.91 , 2.07 , 213 , 289 ,91%,87%,87%,82%,2.5,2.8,161.8,185.4,32.8,18.3,14%,10%, 1.7 , 1.7 ,60%,40%,73%,49%,27%,51%,8%,0%,1%,0%,45%,24%,27%,25%,,, 166 , 228 
Cabimas,Venezuela,Latin America and the Caribbean,10.284,-71.370,12/1/89,1/1/00,1/1/14,16%,21%, 8.7 , 7.1 ,4%,14%,5%,5%, 1.80 , 1.43 , 179 , 241 ,97%,92%,83%,75%,3.7,4.4,81.5,105.6,12.5,22.3,15%,17%, 1.6 , 1.7 ,79%,83%,100%,72%,0%,28%,3%,8%,16%,44%,82%,19%,3%,9%,,, 906 , 456 
Cairo,Egypt,Western Asia and North Africa,30.034,31.282,8/1/92,4/1/03,5/1/13,26%,24%, 10.2 , 9.5 ,19%,25%,21%,16%, 1.53 , 1.51 , 328 , 406 ,83%,78%,81%,70%,2.5,4.1,101.7,144.4,31.6,30.5,20%,12%, 1.6 , 1.8 ,70%,75%,69%,57%,22%,43%,13%,8%,17%,18%,58%,13%,3%,26%, 82 , 595 , 525 , 473 
Caracas,Venezuela,Latin America and the Caribbean,10.479,-66.897,5/1/91,3/1/01,1/1/14,20%,21%, 11.4 , 6.5 ,9%,25%,19%,3%, 2.12 , 1.87 , 227 , 255 ,92%,90%,82%,78%,4.6,6.3,39.8,47.7,8.3,2.8,13%,2%, 1.9 , 1.8 ,73%,74%,64%,48%,36%,52%,3%,0%,6%,4%,52%,24%,6%,20%,,, 550 ,
Cebu City,Philippines,Southeast Asia,10.322,123.907,8/1/93,8/1/00,2/1/14,13%,14%, 9.0 , 5.2 ,21%,43%,9%,3%, 1.71 , 1.34 , 237 , 295 ,91%,86%,78%,63%,6.5,4.4,79.4,114.9,7.4,1.0,8%,1%, 2.1 , 2.2 ,62%,78%,37%,20%,63%,80%,0%,0%,25%,16%,11%,0%,0%,4%,,, 243 ,
"Changzhi, Hunan",China,East Asia and the Pacific,36.192,113.116,10/1/92,10/1/00,6/1/14,24%,23%, 9.1 , 6.8 ,38%,51%,17%,10%, 2.11 , 1.34 , 178 , 317 ,98%,86%,98%,74%,4.4,5.7,153.0,139.5,38.1,22.1,14%,11%, 1.8 , 1.7 ,52%,46%,94%,100%,6%,0%,3%,3%,5%,27%,77%,59%,13%,13%,, 561 , 269 , 394 
"Changzhou, Jingsu",China,East Asia and the Pacific,31.775,119.970,10/1/89,3/1/00,3/1/14,22%,27%, 9.6 , 10.4 ,32%,32%,20%,18%, 2.24 , 1.41 , 154 , 313 ,99%,86%,99%,84%,4.3,5.7,96.4,131.3,14.4,14.4,9%,11%, 1.5 , 1.8 ,45%,43%,76%,32%,24%,68%,0%,0%,1%,5%,40%,1%,35%,25%,,,,
"Chengdu, Sichuan",China,East Asia and the Pacific,30.667,104.051,5/1/88,5/1/00,3/1/09,25%,21%, 8.9 , 9.4 ,29%,31%,16%,17%, 2.46 , 0.44 , 151 ," 3,004 ",98%,31%,98%,31%,3.4,8.0,173.6,64.1,21.2,10.7,12%,8%, 1.8 , 1.9 ,47%,51%,93%,60%,7%,40%,3%,3%,0%,9%,71%,23%,22%,28%,,,,
"Chengguan, Guizhou",China,East Asia and the Pacific,26.680,105.769,8/1/90,11/1/00,6/1/13,16%,12%, 8.9 , 7.9 ,22%,28%,17%,4%, 1.98 , 1.85 , 114 , 139 ,100%,100%,96%,95%,5.5,15.9,67.2,20.3,12.3,2.7,11%,4%, 1.8 , 1.6 ,78%,70%,26%,21%,75%,79%,0%,0%,0%,1%,24%,4%,1%,17%,,,,
Cheonan,Korea Rep.,East Asia and the Pacific,36.826,127.144,2/1/91,8/1/00,9/1/14,23%,26%, 7.0 , 6.7 ,25%,37%,7%,8%, 3.29 , 0.50 , 94 , 331 ,100%,82%,100%,82%,1.7,4.4,172.1,149.4,59.1,15.2,22%,6%, 1.3 , 1.5 ,69%,51%,64%,44%,36%,56%,18%,0%,0%,8%,54%,11%,10%,25%,,, 170 ,
Chicago,United States,Land-Rich Developed Countries,41.860,-87.864,6/1/89,9/1/01,9/1/14,27%,25%, 11.6 , 10.0 ,8%,27%,42%,30%, 1.41 , 1.41 , 241 , 258 ,93%,92%,80%,79%,7.4,3.9,61.2,73.9,37.6,11.8,33%,9%, 1.5 , 1.7 ,80%,83%,82%,81%,2%,19%,57%,0%,2%,0%,89%,64%,8%,17%,,, 637 ," 1,795 "
Cirebon,Indonesia,Southeast Asia,-6.702,108.497,10/1/89,10/1/00,6/1/14,13%,14%, 5.4 , 5.8 ,40%,32%,2%,4%, 1.72 , 0.91 , 229 , 435 ,97%,77%,95%,66%,2.0,6.7,178.6,122.6,29.0,11.4,12%,5%, 1.7 , 1.8 ,75%,82%,52%,39%,48%,61%,0%,0%,0%,16%,51%,22%,2%,0%,,,, 270 
Cleveland,United States,Land-Rich Developed Countries,41.470,-81.636,4/1/90,3/1/00,6/1/13,19%,16%, 10.8 , 21.8 ,18%,13%,26%,26%, 1.63 , 1.21 , 225 , 258 ,95%,91%,90%,51%,5.3,7.7,82.0,99.3,10.5,10.9,11%,9%, 1.7 , 1.7 ,67%,78%,92%,85%,8%,15%,5%,0%,0%,3%,85%,75%,7%,6%,,, 840 ," 1,381 "
Cochabamba,Bolivia,Latin America and the Caribbean,-17.391,-66.170,7/1/90,6/1/00,7/1/13,24%,19%, 10.4 , 8.5 ,7%,25%,17%,2%, 2.42 , 1.24 , 164 , 378 ,97%,82%,96%,72%,2.1,5.6,125.8,133.2,26.5,26.4,19%,17%, 1.7 , 1.6 ,67%,63%,99%,70%,1%,30%,18%,0%,33%,55%,66%,14%,1%,1%,, 319 , 356 , 347 
Coimbatore,India,South and Central Asia,11.015,76.973,1/1/92,10/1/00,2/1/14,18%,24%, 8.1 , 6.5 ,11%,17%,9%,6%, 1.77 , 1.42 , 196 , 238 ,96%,93%,79%,65%,4.5,3.9,130.1,182.4,12.6,19.1,9%,8%, 2.0 , 1.9 ,59%,58%,80%,76%,20%,24%,3%,0%,45%,70%,32%,2%,3%,5%, 209 , 174 , 315 , 220 
Cordoba,Argentina,Latin America and the Caribbean,-31.381,-64.216,12/1/91,11/1/01,7/1/14,23%,21%, 10.2 , 7.5 ,5%,15%,8%,5%, 2.30 , 1.81 , 190 , 235 ,95%,92%,86%,82%,2.3,5.7,70.5,80.0,55.3,25.2,42%,21%, 1.4 , 1.7 ,79%,76%,97%,90%,3%,10%,48%,15%,16%,54%,80%,24%,1%,13%, 344 , 789 , 326 , 768 
Culiacan,Mexico,Latin America and the Caribbean,24.798,-107.402,1/1/90,1/1/00,3/1/14,23%,29%, 10.1 , 7.0 ,10%,26%,12%,6%, 2.20 , 1.54 , 159 , 297 ,98%,86%,88%,79%,2.8,2.8,77.3,183.1,51.0,35.4,37%,15%, 1.8 , 2.0 ,66%,66%,97%,96%,3%,4%,35%,8%,36%,24%,62%,67%,0%,5%, 265 , 152 , 161 , 132 
Curitiba,Brazil,Latin America and the Caribbean,-25.463,-49.254,9/1/90,7/1/00,1/1/14,26%,16%, 12.5 , 6.6 ,7%,17%,27%,2%, 2.22 , 1.59 , 173 , 262 ,98%,90%,96%,81%,4.1,5.3,57.3,70.2,26.1,19.6,37%,18%, 1.5 , 1.7 ,70%,72%,99%,82%,1%,18%,45%,18%,0%,30%,97%,48%,2%,4%,, 370 , 325 , 376 
Dhaka,Bangladesh,South and Central Asia,23.766,90.418,11/1/89,10/1/99,3/1/14,15%,12%, 6.8 , 4.3 ,40%,56%,10%,2%, 2.27 , 1.50 , 162 , 261 ,97%,90%,88%,68%,3.3,5.8,131.0,149.4,15.3,7.6,10%,6%, 1.6 , 1.5 ,75%,71%,30%,9%,68%,91%,0%,0%,18%,5%,8%,0%,6%,3%, 270 , 349 , 379 ,
Dzerzhinsk,Russia,Europe and Japan,56.241,43.455,8/1/89,4/1/00,7/1/10,21%,17%, 6.5 , 5.2 ,27%,31%,6%,2%, 1.46 , 1.30 , 471 , 494 ,75%,73%,83%,82%,4.0,8.7,155.5,83.1,20.2,9.5,9%,9%, 2.0 , 2.1 ,49%,94%,96%,99%,4%,1%,,0%,61%,94%,28%,4%,7%,0%, 683 ,,,
Florianopolis,Brazil,Latin America and the Caribbean,-27.595,-48.613,5/1/90,5/1/00,1/1/14,23%,19%, 9.3 , 6.3 ,6%,18%,6%,0%, 1.99 , 1.40 , 206 , 344 ,96%,85%,73%,61%,3.6,5.7,73.5,54.2,18.0,11.7,19%,11%, 1.8 , 1.9 ,61%,88%,96%,85%,4%,15%,8%,0%,5%,23%,82%,60%,9%,2%, 345 , 233 , 326 , 241 
Fukuoka,Japan,Europe and Japan,33.598,130.437,5/1/93,5/1/01,4/1/14,25%,29%, 5.4 , 5.1 ,48%,46%,4%,2%, 2.31 , 2.09 , 174 , 185 ,97%,97%,76%,70%,1.6,1.9,254.5,288.2,56.8,54.9,17%,15%, 1.5 , 1.5 ,64%,59%,81%,69%,19%,31%,0%,0%,4%,9%,76%,59%,1%,1%, 230 , 229 , 248 , 257 
"Gainesville, FL",United States,Land-Rich Developed Countries,29.661,-82.377,7/1/90,10/1/00,10/1/13,19%,18%, 8.5 , 9.9 ,18%,13%,14%,14%, 1.71 , 1.45 , 197 , 233 ,97%,93%,96%,93%,3.8,7.6,91.6,69.3,17.0,4.9,13%,6%, 1.8 , 2.4 ,71%,74%,96%,89%,4%,11%,0%,0%,0%,0%,90%,74%,7%,15%,,," 1,037 "," 1,009 "
"Gaoyou, Jiangsu",China,East Asia and the Pacific,32.792,119.430,10/1/90,1/1/00,4/1/16,13%,23%, 7.0 , 8.6 ,33%,25%,9%,16%, 1.47 , 1.47 , 334 , 310 ,83%,91%,83%,91%,5.3,8.0,79.9,58.9,11.5,14.5,10%,15%, 1.5 , 1.5 ,70%,51%,60%,56%,40%,44%,,,1%,0%,35%,39%,23%,17%,,,, 674 
Gombe,Nigeria,Sub-Saharan Africa,10.290,11.167,12/1/90,4/1/00,5/1/13,21%,21%, 7.5 , 8.2 ,17%,23%,7%,6%, 2.19 , 1.22 , 170 , 336 ,97%,81%,89%,67%,1.6,2.5,193.1,248.1,55.2,36.5,22%,10%, 1.5 , 1.7 ,77%,74%,91%,58%,9%,42%,8%,0%,85%,52%,5%,4%,0%,2%,, 599 ,, 806 
Gomel,Belarus,Europe and Japan,52.432,30.972,5/1/90,9/1/00,5/1/13,20%,16%, 6.9 , 6.5 ,23%,26%,8%,5%, 0.77 , 0.72 , 448 , 475 ,72%,71%,72%,70%,3.4,5.1,163.9,79.4,19.6,16.7,14%,14%, 2.0 , 1.8 ,59%,78%,99%,94%,1%,6%,0%,0%,38%,81%,41%,8%,20%,5%,, 847 , 731 , 806 
Gorgan,Iran,South and Central Asia,36.843,54.436,6/1/91,10/1/00,9/1/14,23%,24%, 8.6 , 8.6 ,15%,20%,10%,9%, 1.90 , 1.50 , 169 , 236 ,99%,93%,98%,90%,2.1,7.0,170.8,109.4,15.8,15.2,8%,7%, 1.8 , 1.7 ,66%,69%,88%,93%,12%,7%,0%,0%,7%,75%,78%,15%,2%,3%,,, 259 ,
Guadalajara,Mexico,Latin America and the Caribbean,20.660,-103.357,3/1/90,11/1/99,4/1/14,27%,27%, 12.4 , 9.3 ,6%,10%,18%,10%, 2.28 , 1.59 , 165 , 298 ,97%,86%,93%,78%,3.0,3.2,100.0,142.0,43.6,19.2,28%,11%, 1.7 , 1.8 ,61%,76%,100%,98%,0%,2%,28%,8%,15%,40%,79%,45%,6%,13%,,,,
"Guangzhou, Guangdong",China,East Asia and the Pacific,22.936,113.608,2/1/91,9/1/00,10/1/14,19%,19%, 8.6 , 7.9 ,27%,34%,12%,12%, 2.19 , 0.59 , 175 , 912 ,97%,70%,97%,69%,3.6,5.2,123.2,123.6,10.3,9.7,6%,6%, 1.8 , 1.8 ,51%,50%,54%,50%,46%,50%,,0%,0%,26%,38%,11%,16%,13%,, 168 ,,
Guatemala City,Guatemala,Latin America and the Caribbean,14.605,-90.542,1/1/90,1/1/01,11/1/13,20%,20%, 8.3 , 6.9 ,12%,12%,10%,3%, 2.03 , 1.53 , 187 , 250 ,95%,90%,81%,68%,2.1,2.0,89.5,97.5,42.0,21.1,31%,10%, 1.6 , 1.8 ,73%,72%,68%,84%,26%,16%,49%,3%,7%,36%,63%,41%,4%,7%,,, 392 , 187 
"Guixi, Chongqing",China,East Asia and the Pacific,30.332,107.348,6/1/88,7/1/01,6/1/16,18%,18%, 10.2 , 9.5 ,17%,38%,19%,18%, 0.95 , 1.05 , 214 , 264 ,100%,89%,100%,96%,4.1,7.9,68.8,47.4,17.1,5.8,28%,6%, 1.4 , 1.7 ,67%,62%,46%,37%,54%,63%,0%,0%,0%,4%,44%,8%,2%,25%,,,,
Gwangju,Korea Rep.,East Asia and the Pacific,35.146,126.919,10/1/89,3/1/00,5/1/15,23%,25%, 7.6 , 6.7 ,30%,43%,11%,7%, 4.63 , 2.77 , 69 , 199 ,100%,92%,100%,90%,2.3,4.3,149.6,188.7,38.0,18.9,18%,11%, 1.5 , 1.7 ,62%,31%,75%,62%,25%,38%,3%,0%,0%,4%,41%,33%,33%,25%,,, 189 , 236 
"Haikou, Hainan",China,East Asia and the Pacific,20.028,110.329,10/1/91,7/1/01,12/1/13,23%,21%, 11.7 , 7.9 ,19%,24%,22%,9%, 2.04 , 1.60 , 192 , 249 ,96%,92%,96%,92%,3.7,4.6,99.3,136.0,7.4,6.8,11%,5%, 1.8 , 1.7 ,55%,60%,75%,59%,25%,41%,0%,0%,2%,11%,51%,16%,21%,32%,,,,
