MSA GEOID,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,Pollutant 1990,Pollutant 1991,Pollutant 1992,Pollutant 1993,Pollutant 1994,Pollutant 1995,Pollutant 1996,Pollutant 1997,Pollutant 1998,Pollutant 1999,Pollutant 2000,Pollutant 2001,Pollutant 2002,Pollutant 2003,Pollutant 2004,Pollutant 2005,Pollutant 2006,Pollutant 2007,Pollutant 2008,Pollutant 2009,Pollutant 2010,Pollutant 2011,Pollutant 2012,Pollutant 2013,Pollutant 2014,Pollutant 2015,Pollutant 2016,MSA,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000,Population 2001,Population 2002,Population 2003,Population 2004,Population 2005,Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
10740,"Albuquerque, NM",NO2,Annual Mean,1,18,2,21,24,23,18,22,19,16,16,17,17,19,18,17,16,15,15,13,12,12,13,14,12,12,11,10,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10740,"Albuquerque, NM",NO2,98th Percentile,1,72,77,83,88,78,67,75,80,57,56,55,54,57,55,52,51,53,64,65,48,53,50,49,45,42,43,44,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10740,"Albuquerque, NM",O3,4th Max,3,0.072,0.067,0.064,0.064,0.074,0.07,0.067,0.066,0.071,0.072,0.072,0.071,0.074,0.076,0.071,0.073,0.071,0.069,0.064,0.064,0.066,0.069,0.07,0.067,0.062,0.066,0.065,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10740,"Albuquerque, NM",PM10,2nd Max,2,51.5,61.5,42.5,60,45,48.5,36.5,47,38.7,41.3,35.5,38,53,60,28,46,32,30,28.5,33,21.5,91,58,57,63,32,41.5,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10740,"Albuquerque, NM",PM25,Weighted Annual Mean,2,,,,,,,,,,,6.1,6,6.1,6.9,7.1,6.6,7.1,6.6,5.9,5.3,5.2,6.8,7.3,5.9,6,6,5.4,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10740,"Albuquerque, NM",PM25,98th Percentile,2,,,,,,,,,,,17,18,17,16,20,17,16,18,14,15,14,31,22,16,20,22,20,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
10900,"Allentown-Bethlehem-Easton, PA-NJ",O3,4th Max,1,0.093,0.098,0.078,0.082,0.084,0.091,0.094,0.101,0.095,0.105,0.091,0.094,0.097,0.087,0.083,0.086,0.08,0.081,0.08,0.069,0.08,0.079,0.075,0.068,0.068,0.07,0.071,"Allentown--Bethlehem--Easton, PA MSA",686688,681815,676942,672069,667196,662323,657450,652577,647704,642831,637958,656279.5,674601,692922.5,711244,729565.5,747887,766208.5,784530,802851.5,821173,470,480.92,491.84,502.76,513.68,524.6,535.52,546.44,557.36,568.28,579.2,577.79,576.38,574.97,573.56,572.15,570.74,569.33,567.92,566.51,565.1
10900,"Allentown-Bethlehem-Easton, PA-NJ",PM25,Weighted Annual Mean,2,,,,,,,,,,,13.8,14.5,14,13.9,13,13.9,12,13.1,11.7,10.2,11.5,12.1,10.3,9.5,9,9.2,8.4,"Allentown--Bethlehem--Easton, PA MSA",686688,681815,676942,672069,667196,662323,657450,652577,647704,642831,637958,656279.5,674601,692922.5,711244,729565.5,747887,766208.5,784530,802851.5,821173,470,480.92,491.84,502.76,513.68,524.6,535.52,546.44,557.36,568.28,579.2,577.79,576.38,574.97,573.56,572.15,570.74,569.33,567.92,566.51,565.1
10900,"Allentown-Bethlehem-Easton, PA-NJ",PM25,98th Percentile,2,,,,,,,,,,,38,39,43,36,35,35,35,36,30,28,30,32,25,27,25,26,23,"Allentown--Bethlehem--Easton, PA MSA",686688,681815,676942,672069,667196,662323,657450,652577,647704,642831,637958,656279.5,674601,692922.5,711244,729565.5,747887,766208.5,784530,802851.5,821173,470,480.92,491.84,502.76,513.68,524.6,535.52,546.44,557.36,568.28,579.2,577.79,576.38,574.97,573.56,572.15,570.74,569.33,567.92,566.51,565.1
11020,"Altoona, PA",O3,4th Max,1,0.081,0.092,0.079,0.086,0.092,0.091,0.083,0.096,0.098,0.091,0.08,0.083,0.089,0.083,0.073,0.077,0.071,0.071,0.075,0.065,0.072,0.074,0.08,0.065,0.06,0.069,0.062,"Altoona, PA MSA",130542,130402.2,130262.4,130122.6,129982.8,129843,129703.2,129563.4,129423.6,129283.8,129144,128938.5,128733,128527.5,128322,128116.5,127911,127705.5,127500,127294.5,127089,248.3,248.03,247.76,247.49,247.22,246.95,246.68,246.41,246.14,245.87,245.6,245.21,244.82,244.43,244.04,243.65,243.26,242.87,242.48,242.09,241.7
11020,"Altoona, PA",SO2,99th Percentile,1,119,100,94,76,103,70,75,73,59,71,62,68,51,62,61,72,48,56,55,51,36,32,28,29,30,31,13,"Altoona, PA MSA",130542,130402.2,130262.4,130122.6,129982.8,129843,129703.2,129563.4,129423.6,129283.8,129144,128938.5,128733,128527.5,128322,128116.5,127911,127705.5,127500,127294.5,127089,248.3,248.03,247.76,247.49,247.22,246.95,246.68,246.41,246.14,245.87,245.6,245.21,244.82,244.43,244.04,243.65,243.26,242.87,242.48,242.09,241.7
11140,"Americus, GA",O3,4th Max,1,0.082,0.082,0.081,0.08,0.076,0.079,0.082,0.085,0.081,0.084,0.092,0.082,0.07,0.072,0.07,0.071,0.077,0.076,0.068,0.06,0.069,0.066,0.065,0.06,0.059,0.057,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11260,"Anchorage, AK",CO,2nd Max,1,9.7,8.4,10.8,9.7,8.6,7.4,8.7,7.1,8.4,7.8,5.4,5.7,4.7,5.7,6.4,4.8,4.3,3.6,3.8,4.4,3.8,3.6,4.3,3.1,2.5,2.8,3,"Anchorage, AK MSA",226338,229732.5,233127,236521.5,239916,243310.5,246705,250099.5,253494,256888.5,260283,272336.8,284390.6,296444.4,308498.2,320552,332605.8,344659.6,356713.4,368767.2,380821,133.3,135.31,137.32,139.33,141.34,143.35,145.36,147.37,149.38,151.39,153.4,139.51,125.62,111.73,97.84,83.95,70.06,56.17,42.28,28.39,14.5
11260,"Anchorage, AK",PM25,Weighted Annual Mean,2,,,,,,,,,,,5.8,6.2,5.8,6.6,6.9,6.7,6.9,5.2,5.9,7,6.8,5.8,6.2,5.6,7,6.5,6.1,"Anchorage, AK MSA",226338,229732.5,233127,236521.5,239916,243310.5,246705,250099.5,253494,256888.5,260283,272336.8,284390.6,296444.4,308498.2,320552,332605.8,344659.6,356713.4,368767.2,380821,133.3,135.31,137.32,139.33,141.34,143.35,145.36,147.37,149.38,151.39,153.4,139.51,125.62,111.73,97.84,83.95,70.06,56.17,42.28,28.39,14.5
11260,"Anchorage, AK",PM25,98th Percentile,2,,,,,,,,,,,20,25,25,23,30,22,33,17,24,29,31,24,31,22,29,28,23,"Anchorage, AK MSA",226338,229732.5,233127,236521.5,239916,243310.5,246705,250099.5,253494,256888.5,260283,272336.8,284390.6,296444.4,308498.2,320552,332605.8,344659.6,356713.4,368767.2,380821,133.3,135.31,137.32,139.33,141.34,143.35,145.36,147.37,149.38,151.39,153.4,139.51,125.62,111.73,97.84,83.95,70.06,56.17,42.28,28.39,14.5
11460,"Ann Arbor, MI",PM25,Weighted Annual Mean,1,,,,,,,,,,,14.3,14.4,14.9,14.6,12.7,15.6,12.6,13,11,9.9,9.2,9.6,9.1,8.6,9.7,9.4,7.9,"Ann Arbor, MI PMSA",282937,312516.9,342096.8,371676.7,401256.6,430836.5,460416.4,489996.3,519576.2,549156.1,578736,555341.5,531947,508552.5,485158,461763.5,438369,414974.5,391580,368185.5,344791,398.5,387.18,375.86,364.54,353.22,341.9,330.58,319.26,307.94,296.62,285.3,305.61,325.92,346.23,366.54,386.85,407.16,427.47,447.78,468.09,488.4
11460,"Ann Arbor, MI",PM25,98th Percentile,1,,,,,,,,,,,30,40,31,39,32,52,31,35,28,28,23,24,23,19,25,26,18,"Ann Arbor, MI PMSA",282937,312516.9,342096.8,371676.7,401256.6,430836.5,460416.4,489996.3,519576.2,549156.1,578736,555341.5,531947,508552.5,485158,461763.5,438369,414974.5,391580,368185.5,344791,398.5,387.18,375.86,364.54,353.22,341.9,330.58,319.26,307.94,296.62,285.3,305.61,325.92,346.23,366.54,386.85,407.16,427.47,447.78,468.09,488.4
11540,"Appleton, WI",PM25,Weighted Annual Mean,1,,,,,,,,,,,11.5,11.1,10.8,10.4,9.7,11.5,11.6,11.2,11.2,10.4,9.7,9.3,8.6,8,8.6,7.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540,"Appleton, WI",PM25,98th Percentile,1,,,,,,,,,,,32,33,29,26,29,37,36,31,31,34,37,22,25,22,24,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,"Asheville, NC",O3,4th Max,1,0.073,0.063,0.064,0.066,0.069,0.076,0.074,0.075,0.09,0.084,0.09,0.076,0.09,0.07,0.073,0.079,0.071,0.073,0.071,0.064,0.071,0.067,0.067,0.061,0.064,0.065,0.062,"Asheville, NC MSA",174821,179935.4,185049.8,190164.2,195278.6,200393,205507.4,210621.8,215736.2,220850.6,225965,245854.3,265743.6,285632.9,305522.2,325411.5,345300.8,365190.1,385079.4,404968.7,424858,266.4,260.2,254,247.8,241.6,235.4,229.2,223,216.8,210.6,204.4,204.86,205.32,205.78,206.24,206.7,207.16,207.62,208.08,208.54,209
11700,"Asheville, NC",PM25,Weighted Annual Mean,1,,,,,,,,,,,15.4,13.5,13.8,12.6,12.3,13.1,12.4,12.2,9,8.4,10.2,9.2,8.6,8.1,7.9,7,8.5,"Asheville, NC MSA",174821,179935.4,185049.8,190164.2,195278.6,200393,205507.4,210621.8,215736.2,220850.6,225965,245854.3,265743.6,285632.9,305522.2,325411.5,345300.8,365190.1,385079.4,404968.7,424858,266.4,260.2,254,247.8,241.6,235.4,229.2,223,216.8,210.6,204.4,204.86,205.32,205.78,206.24,206.7,207.16,207.62,208.08,208.54,209
11700,"Asheville, NC",PM25,98th Percentile,1,,,,,,,,,,,34,31,31,31,27,32,31,28,23,18,20,19,16,16,14,14,40,"Asheville, NC MSA",174821,179935.4,185049.8,190164.2,195278.6,200393,205507.4,210621.8,215736.2,220850.6,225965,245854.3,265743.6,285632.9,305522.2,325411.5,345300.8,365190.1,385079.4,404968.7,424858,266.4,260.2,254,247.8,241.6,235.4,229.2,223,216.8,210.6,204.4,204.86,205.32,205.78,206.24,206.7,207.16,207.62,208.08,208.54,209
11780,"Ashtabula, OH",O3,4th Max,1,0.084,0.097,0.086,0.086,0.085,0.092,0.075,0.09,0.096,0.09,0.082,0.097,0.103,0.099,0.081,0.093,0.086,0.092,0.075,0.075,0.083,0.077,0.079,0.07,0.069,0.07,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11780,"Ashtabula, OH",SO2,99th Percentile,1,95,112,106,109,115,52,74,96,68,86,50,56,55,44,36,39,40,31,36,34,20,19,53,29,17,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11900,"Athens, OH",PM25,Weighted Annual Mean,1,,,,,,,,,,,12.4,12.4,12.7,12.3,11.4,13.3,11.8,13,11.1,9.1,8.9,8.7,8.7,8.1,7.8,7.6,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11900,"Athens, OH",PM25,98th Percentile,1,,,,,,,,,,,32,32,33,29,33,33,30,37,27,18,18,19,16,16,18,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11940,"Athens, TN",SO2,99th Percentile,1,109,85,89,92,96,78,95,128,154,151,108,146,174,146,118,107,99,91,145,109,73,65,75,44,28,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",NO2,Annual Mean,1,15,14,14,15,14,15,16,15,17,20,18,17,15,13,15,14,15,15,13,11,14,13,12,9,11,10,11,"Atlanta, GA MSA",2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",O3,4th Max,4,0.104,0.09,0.088,0.106,0.088,0.103,0.097,0.096,0.112,0.112,0.101,0.084,0.096,0.082,0.082,0.087,0.092,0.093,0.084,0.073,0.076,0.078,0.079,0.066,0.072,0.07,0.073,"Atlanta, GA MSA",2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",PM25,Weighted Annual Mean,5,,,,,,,,,,,18.4,16.7,15,15.4,15.7,15.8,15.9,15.1,12.8,11.1,12.3,11.6,10,9.2,9.8,8.7,8.7,"Atlanta, GA MSA",2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",PM25,98th Percentile,5,,,,,,,,,,,47,38,32,36,35,35,32,34,27,24,23,24,19,19,20,17,18,"Atlanta, GA MSA",2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",SO2,99th Percentile,1,105,105,105,91,78,64,49,58,57,44,50,54,56,53,56,60,62,58,45,31,33,25,10,9,6,4,6,"Atlanta, GA MSA",2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
12100,"Atlantic City-Hammonton, NJ",PM25,Weighted Annual Mean,1,,,,,,,,,,,11.6,11.6,11.6,12,10.6,11.8,12.4,10.2,10.6,9,9.2,9.3,8.2,8.6,8.1,7.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12100,"Atlantic City-Hammonton, NJ",PM25,98th Percentile,1,,,,,,,,,,,42,42,42,30,30,25,35,27,27,20,21,28,20,22,20,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12260,"Augusta-Richmond County, GA-SC",O3,4th Max,3,0.085,0.076,0.074,0.084,0.08,0.079,0.084,0.083,0.096,0.087,0.087,0.08,0.092,0.072,0.077,0.076,0.075,0.078,0.074,0.065,0.067,0.068,0.062,0.057,0.059,0.059,0.063,"Augusta--Aiken, GA--SC MSA",396809,404872.2,412935.4,420998.6,429061.8,437125,445188.2,453251.4,461314.6,469377.8,477441,485384.6,493328.2,501271.8,509215.4,517159,525102.6,533046.2,540989.8,548933.4,556877,203.8,202.92,202.04,201.16,200.28,199.4,198.52,197.64,196.76,195.88,195,192.53,190.06,187.59,185.12,182.65,180.18,177.71,175.24,172.77,170.3
12260,"Augusta-Richmond County, GA-SC",PM25,Weighted Annual Mean,2,,,,,,,,,,,16,13.8,13.4,13.5,14.3,14.8,14.7,13.7,12.7,10.9,11.3,11,9.6,9.1,9.6,8.4,9.4,"Augusta--Aiken, GA--SC MSA",396809,404872.2,412935.4,420998.6,429061.8,437125,445188.2,453251.4,461314.6,469377.8,477441,485384.6,493328.2,501271.8,509215.4,517159,525102.6,533046.2,540989.8,548933.4,556877,203.8,202.92,202.04,201.16,200.28,199.4,198.52,197.64,196.76,195.88,195,192.53,190.06,187.59,185.12,182.65,180.18,177.71,175.24,172.77,170.3
12260,"Augusta-Richmond County, GA-SC",PM25,98th Percentile,2,,,,,,,,,,,35,28,28,31,36,33,28,32,25,22,24,25,19,20,18,17,27,"Augusta--Aiken, GA--SC MSA",396809,404872.2,412935.4,420998.6,429061.8,437125,445188.2,453251.4,461314.6,469377.8,477441,485384.6,493328.2,501271.8,509215.4,517159,525102.6,533046.2,540989.8,548933.4,556877,203.8,202.92,202.04,201.16,200.28,199.4,198.52,197.64,196.76,195.88,195,192.53,190.06,187.59,185.12,182.65,180.18,177.71,175.24,172.77,170.3
12300,"Augusta-Waterville, ME",O3,4th Max,1,0.086,0.086,0.083,0.075,0.082,0.073,0.076,0.076,0.077,0.08,0.063,0.084,0.088,0.069,0.071,0.07,0.065,0.079,0.068,0.066,0.059,0.063,0.064,0.065,0.057,0.063,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
